ID,USERNAME,PASSWORD_HASH,EMAIL,SEX,AGE,AREA,CAREER,CONFIRMED
0001,Denise1136,pbkdf2:sha256:150000$pcNdVgry$b408ca9270c8b4b9763e96a0dcd4c43d0ade904613802d4cc15eedd3f5386dca,denise11363467@yahoo.com.tw,female,61,嘉義縣,出版影音及資通訊業,0
0002,Bartholomew3,pbkdf2:sha256:150000$Ck6k4YV8$96bec5aa3b42f1d8310f3c1f0b122550bb074c049074e91fb9b286c5f49f81b7,bartholomew36385037@gmail.com.tw,male,41,南投縣,其他,0
0003,Curtis5918,pbkdf2:sha256:150000$RR1zs1LT$eae4e260387068c25604db0fc07acc19e0e10f14489ffc9d1e367a2c17ed98e4,curtis59184995@hotmail.com.tw,male,52,屏東縣,製造業,0
0004,Daniel1919,pbkdf2:sha256:150000$wwqcRhGc$fa0849fef581b2b0644b39499cc48fae1cb350195b81572285aebfc0ae3b285d,daniel19191199@yahoo.com.tw,male,67,澎湖縣,運輸及倉儲業,0
0005,Vicky8757,pbkdf2:sha256:150000$O2sXqY7J$1fe0f3400a7699ffad6b80b45e73dd052f4169de7b5116078d50735cc91faae9,vicky87571056@hotmail.com.tw,female,16,新竹市,金融及保險業,0
0006,Derek6659,pbkdf2:sha256:150000$m4xSWO2h$50141e904ef53540156500b27ed706e40dfae3d3cd2f64f9e4c88d1591278d33,derek66597389@gmail.com.tw,male,62,新北市,農、林、漁、牧業,0
0007,Elsa8269,pbkdf2:sha256:150000$BWShBMwG$3fb8c74cc1f3c2193eab1d70e2a22d0343e6418787431eeadbd25e716bb0a179,elsa82697030@gmail.com.tw,female,31,臺東縣,出版影音及資通訊業,0
0008,Michael8809,pbkdf2:sha256:150000$CPu4nF5d$81f7a2f6d228b5d68693cae582482efd8f23d642520582424d18c00e55c4b67e,michael88093024@gmail.com.tw,male,43,宜蘭縣,藝術、娛樂及休閒服務,0
0009,Gerald794,pbkdf2:sha256:150000$1sTtpE2O$b5930891f3bec5744a29d313fc4c9e3bf252949426b71f9605b1dfbd7fa9c7d8,gerald7945397@yahoo.com.tw,male,41,花蓮縣,農、林、漁、牧業,0
0010,Norma6725,pbkdf2:sha256:150000$Ycpikrd4$9a5bbd64f8450c67d94182932d7df61aab195b39ad255484a9b94dc313bd7176,norma67255625@hotmail.com.tw,female,49,新竹縣,運輸及倉儲業,0
0011,Lori7606,pbkdf2:sha256:150000$ZBpn7NsK$275af98a772655cc6128269f4ffd24152d815aa3226ce792a66782ac743aeb69,lori76068922@gmail.com.tw,female,40,高雄市,農、林、漁、牧業,0
0012,Hal5637,pbkdf2:sha256:150000$ywhuNd0G$a64812fa2c6b4176f43f7bde366f1c2e6f5ac3741a6e9d0119c31ca32a730cac,hal56378975@gmail.com.tw,male,41,嘉義市,出版影音及資通訊業,0
0013,Oliver9219,pbkdf2:sha256:150000$6HoLrVhG$b6c05272eef88563addf2bdd89c98378792186ceb5ad13f006262f777ec45848,oliver92192841@gmail.com.tw,male,51,新北市,運輸及倉儲業,0
0014,Brian6707,pbkdf2:sha256:150000$2BlCIMwC$4645fadf1393b56224db625df7d15456f74827eed60da4f026fe0108ef471349,brian67071408@hotmail.com.tw,male,69,桃園市,金融及保險業,0
0015,Timmy1235,pbkdf2:sha256:150000$8HVxX0UO$3d5c2b80606cb2981703d47d5dc53f805d2cf43607527c27e143209360b221ff,timmy12351732@hotmail.com.tw,male,44,臺東縣,製造業,0
0016,Mary8116,pbkdf2:sha256:150000$qqEV8y3O$a1f082f748218ffabfdb4b5aebff0eff65aebb83222ae981adf9ae83cabc6f3e,mary81168968@gmail.com.tw,female,61,高雄市,金融及保險業,0
0017,Derby5116,pbkdf2:sha256:150000$M2MNFX2k$ffae1ed935177aaaa8f2b59d2f46381a6599eb36df000efa5b9640001832457c,derby51164042@gmail.com.tw,male,39,苗栗縣,農、林、漁、牧業,0
0018,Curtis4097,pbkdf2:sha256:150000$dFD3w4Kr$2bdbed37ffdfb84ae8e96b9cefe3d5e57da3637ea306c26433b2275fffc5b526,curtis40972230@yahoo.com.tw,male,43,新竹市,住宿及餐飲業,0
0019,Jean7207,pbkdf2:sha256:150000$CbAf9B8v$ed0759e60883c10354d86623afab37c6d5526992d6e575d218362799a7048aa9,jean72079929@hotmail.com.tw,female,64,花蓮縣,其他,0
0020,Theodoric117,pbkdf2:sha256:150000$PEXtg8ZP$1e46283b82b58bd8adf9c71b8911425c5e451f489f2b9f832bef8e81ae03404e,theodoric11745065@yahoo.com.tw,male,68,南投縣,出版影音及資通訊業,0
0021,Gerald3711,pbkdf2:sha256:150000$n1pksJew$0aceb1a12252f139ffa23c8c7f90151cf995fd7852f8876e3cf9323bf5071149,gerald37111548@gmail.com.tw,male,34,苗栗縣,金融及保險業,0
0022,Gordon832,pbkdf2:sha256:150000$uRAXYkWL$926a02fbf82d044fda93c1ecc94a939877ee67970d3bec1a38ee3459724ad420,gordon8323920@yahoo.com.tw,male,56,雲林縣,醫療保健及社會工作服,0
0023,Alvin5771,pbkdf2:sha256:150000$chpiW1aG$f53b39531f9a8b603c3c5748f57b32c4ba4a5646f35634ee7247deed546b1cfb,alvin57713088@yahoo.com.tw,male,62,新北市,農、林、漁、牧業,0
0024,Urban2649,pbkdf2:sha256:150000$WB7cCUs3$03b3ce0c9eaf3ef8f6fed40d5ebf8041ea0bcf2212d9cd0981d345636ce72ea4,urban26491631@yahoo.com.tw,male,51,新北市,製造業,0
0025,Felicity4594,pbkdf2:sha256:150000$13DvWeyU$18988caf021fd0aa6baa9dc7e92a9436161099fc99924e7be3b83862f372cc02,felicity45946462@yahoo.com.tw,female,48,臺北市,醫療保健及社會工作服,0
0026,Maisie5415,pbkdf2:sha256:150000$wrAZo4dq$52a67a8808412d66ea73dc2622b32a45be7c19fa5cbc839d33a555631ab7873c,maisie54154489@yahoo.com.tw,female,69,彰化縣,住宿及餐飲業,0
